n,s,t,ex(n;Kst),count,last_ops,structures
6,1,3,6,1,sum,"S(P(1,1,1),P(1,1,1))"
6,1,4,9,1,product,"P(S(1,1,1),S(1,1,1))"
6,1,5,12,1,product,"P(S(1,1),S(1,1),S(1,1))"
6,1,6,15,1,product,"P(1,1,1,1,1,1)"
6,1,7,15,1,product,"P(1,1,1,1,1,1)"
6,1,8,15,1,product,"P(1,1,1,1,1,1)"
6,1,9,15,1,product,"P(1,1,1,1,1,1)"
6,1,10,15,1,product,"P(1,1,1,1,1,1)"
6,1,11,15,1,product,"P(1,1,1,1,1,1)"
6,1,12,15,1,product,"P(1,1,1,1,1,1)"
6,2,2,7,1,product,"P(1,S(1,P(1,1),P(1,1)))"
6,2,3,9,1,product,"P(1,S(P(1,1),P(1,1,1)))"
6,2,4,11,2,product,"P(1,S(1,P(1,1,1,1)));P(S(1,P(1,1)),S(1,P(1,1)))"
6,2,5,15,1,product,"P(1,1,1,1,1,1)"
6,2,6,15,1,product,"P(1,1,1,1,1,1)"
6,2,7,15,1,product,"P(1,1,1,1,1,1)"
6,2,8,15,1,product,"P(1,1,1,1,1,1)"
6,2,9,15,1,product,"P(1,1,1,1,1,1)"
6,2,10,15,1,product,"P(1,1,1,1,1,1)"
6,2,11,15,1,product,"P(1,1,1,1,1,1)"
6,2,12,15,1,product,"P(1,1,1,1,1,1)"
6,3,3,12,2,product,"P(1,1,S(1,P(1,1,1)));P(S(1,1),S(1,1),S(1,1))"
6,3,4,15,1,product,"P(1,1,1,1,1,1)"
6,3,5,15,1,product,"P(1,1,1,1,1,1)"
6,3,6,15,1,product,"P(1,1,1,1,1,1)"
6,3,7,15,1,product,"P(1,1,1,1,1,1)"
6,3,8,15,1,product,"P(1,1,1,1,1,1)"
6,3,9,15,1,product,"P(1,1,1,1,1,1)"
6,3,10,15,1,product,"P(1,1,1,1,1,1)"
6,3,11,15,1,product,"P(1,1,1,1,1,1)"
6,3,12,15,1,product,"P(1,1,1,1,1,1)"
6,4,4,15,1,product,"P(1,1,1,1,1,1)"
6,4,5,15,1,product,"P(1,1,1,1,1,1)"
6,4,6,15,1,product,"P(1,1,1,1,1,1)"
6,4,7,15,1,product,"P(1,1,1,1,1,1)"
6,4,8,15,1,product,"P(1,1,1,1,1,1)"
6,4,9,15,1,product,"P(1,1,1,1,1,1)"
6,4,10,15,1,product,"P(1,1,1,1,1,1)"
6,4,11,15,1,product,"P(1,1,1,1,1,1)"
6,4,12,15,1,product,"P(1,1,1,1,1,1)"
6,5,5,15,1,product,"P(1,1,1,1,1,1)"
6,5,6,15,1,product,"P(1,1,1,1,1,1)"
6,5,7,15,1,product,"P(1,1,1,1,1,1)"
6,5,8,15,1,product,"P(1,1,1,1,1,1)"
6,5,9,15,1,product,"P(1,1,1,1,1,1)"
6,5,10,15,1,product,"P(1,1,1,1,1,1)"
6,5,11,15,1,product,"P(1,1,1,1,1,1)"
6,5,12,15,1,product,"P(1,1,1,1,1,1)"
6,6,6,15,1,product,"P(1,1,1,1,1,1)"
6,6,7,15,1,product,"P(1,1,1,1,1,1)"
6,6,8,15,1,product,"P(1,1,1,1,1,1)"
6,6,9,15,1,product,"P(1,1,1,1,1,1)"
6,6,10,15,1,product,"P(1,1,1,1,1,1)"
6,6,11,15,1,product,"P(1,1,1,1,1,1)"
6,6,12,15,1,product,"P(1,1,1,1,1,1)"
6,7,7,15,1,product,"P(1,1,1,1,1,1)"
6,7,8,15,1,product,"P(1,1,1,1,1,1)"
6,7,9,15,1,product,"P(1,1,1,1,1,1)"
6,7,10,15,1,product,"P(1,1,1,1,1,1)"
6,7,11,15,1,product,"P(1,1,1,1,1,1)"
6,7,12,15,1,product,"P(1,1,1,1,1,1)"
6,8,8,15,1,product,"P(1,1,1,1,1,1)"
6,8,9,15,1,product,"P(1,1,1,1,1,1)"
6,8,10,15,1,product,"P(1,1,1,1,1,1)"
6,8,11,15,1,product,"P(1,1,1,1,1,1)"
6,8,12,15,1,product,"P(1,1,1,1,1,1)"
6,9,9,15,1,product,"P(1,1,1,1,1,1)"
6,9,10,15,1,product,"P(1,1,1,1,1,1)"
6,9,11,15,1,product,"P(1,1,1,1,1,1)"
6,9,12,15,1,product,"P(1,1,1,1,1,1)"
6,10,10,15,1,product,"P(1,1,1,1,1,1)"
6,10,11,15,1,product,"P(1,1,1,1,1,1)"
6,10,12,15,1,product,"P(1,1,1,1,1,1)"
6,11,11,15,1,product,"P(1,1,1,1,1,1)"
6,11,12,15,1,product,"P(1,1,1,1,1,1)"
6,12,12,15,1,product,"P(1,1,1,1,1,1)"
7,1,1,0,1,sum,"S(1,1,1,1,1,1,1)"
7,1,2,3,1,sum,"S(1,P(1,1),P(1,1),P(1,1))"
7,1,3,7,1,sum,"S(P(1,1,1),P(S(1,1),S(1,1)))"
7,1,4,9,2,sum,"S(P(1,1,1),P(1,1,1,1));S(1,P(S(1,1,1),S(1,1,1)))"
7,1,5,14,1,product,"P(S(1,1,1),S(P(1,1),P(1,1)))"
7,1,6,17,1,product,"P(S(1,1),S(1,1),S(1,P(1,1)))"
7,1,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,1,12,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,2,9,1,product,"P(1,S(P(1,1),P(1,1),P(1,1)))"
7,2,3,12,1,product,"P(1,S(P(1,1,1),P(1,1,1)))"
7,2,4,13,1,product,"P(1,S(P(1,1),P(1,1,1,1)))"
7,2,5,17,1,product,"P(1,S(1,P(1,1)),S(1,P(1,1)))"
7,2,6,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,7,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,8,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,9,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,10,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,11,21,1,product,"P(1,1,1,1,1,1,1)"
7,2,12,21,1,product,"P(1,1,1,1,1,1,1)"
